"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
5163.6818, 17.914384041513717, 5370.2189, 15, 0.7686, coolFactor='0.03', startTemp='500'
5164.9185, 17.621738617880304, 5373.3914, 15, 0.7716, coolFactor='0.03', startTemp='500'
5165.7471, 17.33215766528557, 5374.1426, 15, 0.7741, coolFactor='0.03', startTemp='500'
5173.6220, 17.171819290872346, 5383.9995, 15, 0.7769, coolFactor='0.03', startTemp='500'
5184.1062, 17.0603187918663, 5395.4530, 15, 0.7793, coolFactor='0.03', startTemp='500'
5211.7448, 17.233689820180174, 5423.1069, 15, 0.7819, coolFactor='0.03', startTemp='500'
5287.3336, 18.174842234580748, 5500.8879, 15, 0.7856, coolFactor='0.03', startTemp='500'
5288.0065, 17.89699303157746, 5502.4833, 15, 0.7881, coolFactor='0.03', startTemp='500'
5295.8571, 17.7399795204401, 5510.3107, 15, 0.7907, coolFactor='0.03', startTemp='500'
5371.6893, 18.633646612900954, 5588.3524, 15, 0.7945, coolFactor='0.03', startTemp='500'
5372.3621, 18.361475185914472, 5589.9396, 15, 0.7970, coolFactor='0.03', startTemp='500'
5372.3631, 18.361475185914472, 5589.9405, 15, 0.7980, coolFactor='0.03', startTemp='500'
5957.9254, 18.500402656953725, 6198.9551, 15, 0.8542, coolFactor='0.03', startTemp='500'
5958.7666, 18.240640517543344, 6200.7297, 15, 0.8589, coolFactor='0.03', startTemp='500'
5969.2194, 18.127727456714798, 6211.1643, 15, 0.8620, coolFactor='0.03', startTemp='500'
5970.3728, 17.885166219302587, 6213.2734, 15, 0.8670, coolFactor='0.03', startTemp='500'
5971.6447, 17.65113395368549, 6216.4643, 15, 0.8700, coolFactor='0.03', startTemp='500'
5972.4761, 17.417489220698673, 6217.2273, 15, 0.8726, coolFactor='0.03', startTemp='500'
6175.3073, 17.28527942422318, 6425.0156, 15, 0.8853, coolFactor='0.03', startTemp='500'
6185.6672, 17.191653966903687, 6436.3391, 15, 0.8882, coolFactor='0.03', startTemp='500'
6259.5504, 17.947484738032024, 6512.4054, 15, 0.8924, coolFactor='0.03', startTemp='500'
6260.2033, 17.719889063584176, 6513.9478, 15, 0.8951, coolFactor='0.03', startTemp='500'
6260.2045, 17.719889063584176, 6513.9490, 15, 0.8963, coolFactor='0.03', startTemp='500'
6929.9220, 17.84571533079271, 7204.9401, 15, 0.9533, coolFactor='0.03', startTemp='500'
6941.5467, 17.765914510457943, 7217.5129, 15, 0.9567, coolFactor='0.03', startTemp='500'
6949.1456, 17.6371768184855, 7225.0403, 15, 0.9599, coolFactor='0.03', startTemp='500'
6949.9480, 17.426707804203033, 7227.7552, 15, 0.9628, coolFactor='0.03', startTemp='500'
