Run 2
0, 100000000, 0, 1, 0, coolFactor='0.03', startTemp='500'
5472.714438199997, 3846.2802716049387, 54, 5, 900.0, coolFactor='0.021', startTemp='500'
5473.433277845383, 3776.9988121212123, 55, 5, 900.0, coolFactor='0.021', startTemp='500'
5474.028316020966, 3710.6416904761904, 56, 5, 900.0, coolFactor='0.021', startTemp='500'
5475.028924942017, 3646.174292397661, 57, 5, 900.0, coolFactor='0.021', startTemp='500'
5475.745762825012, 3583.926459770115, 58, 5, 900.0, coolFactor='0.021', startTemp='500'
5481.739301919937, 3538.5136723163837, 59, 5, 900.0, coolFactor='0.021', startTemp='500'
5489.413827180862, 3495.510844444444, 60, 5, 900.0, coolFactor='0.021', startTemp='500'
5509.5292954444885, 3580.7811584699452, 61, 5, 900.0, coolFactor='0.021', startTemp='500'
5561.624835252762, 3773.1744731182794, 62, 5, 900.0, coolFactor='0.021', startTemp='500'
5562.241154432297, 3714.2510687830686, 63, 5, 900.0, coolFactor='0.021', startTemp='500'
5647.574896097183, 3670.3498333333328, 64, 5, 900.0, coolFactor='0.021', startTemp='500'
5699.573599815369, 3852.188041025641, 65, 5, 900.0, coolFactor='0.021', startTemp='500'
5700.2164142131805, 3794.7457979797978, 66, 5, 900.0, coolFactor='0.021', startTemp='500'
5700.2164142131805, 3794.7457979797978, 66, 5, 900.0, coolFactor='0.021', startTemp='500'
6217.6624591350555, 3864.6948656716413, 67, 6, 900.0, coolFactor='0.021', startTemp='500'
6218.375858783722, 3808.3875882352936, 68, 6, 900.0, coolFactor='0.021', startTemp='500'
6445.593371391296, 3767.0826086956517, 69, 6, 900.0, coolFactor='0.021', startTemp='500'
6446.610494852066, 3713.6671428571426, 70, 6, 900.0, coolFactor='0.021', startTemp='500'
6447.548965215683, 3661.7563380281686, 71, 6, 900.0, coolFactor='0.021', startTemp='500'
6448.3161652088165, 3611.395833333333, 72, 6, 900.0, coolFactor='0.021', startTemp='500'
6454.306801557541, 3574.3160547945204, 73, 6, 900.0, coolFactor='0.021', startTemp='500'
6461.986011266708, 3538.965081081081, 74, 6, 900.0, coolFactor='0.021', startTemp='500'
6514.2621285915375, 3698.4788799999997, 75, 6, 900.0, coolFactor='0.021', startTemp='500'
6514.8858070373535, 3650.617315789473, 76, 6, 900.0, coolFactor='0.021', startTemp='500'
6535.051774263382, 3716.154753246753, 77, 6, 900.0, coolFactor='0.021', startTemp='500'
6535.051774263382, 3716.154753246753, 77, 6, 900.0, coolFactor='0.021', startTemp='500'
7872.068885803223, 3680.7982051282047, 78, 7, 900.0, coolFactor='0.021', startTemp='500'
7878.00061750412, 3645.4805063291133, 79, 7, 900.0, coolFactor='0.021', startTemp='500'
7878.781350135803, 3600.3594999999996, 80, 7, 900.0, coolFactor='0.021', startTemp='500'
7899.251140594482, 3663.2809876543206, 81, 7, 900.0, coolFactor='0.021', startTemp='500'
7950.920781373978, 3807.5194308943082, 82, 7, 900.0, coolFactor='0.021', startTemp='500'
7961.311954259872, 3762.0794377510033, 83, 7, 900.0, coolFactor='0.021', startTemp='500'
7961.972217321396, 3718.0189682539676, 84, 7, 900.0, coolFactor='0.021', startTemp='500'
7961.972217321396, 3718.0189682539676, 84, 7, 900.0, coolFactor='0.021', startTemp='500'
8413.793662071228, 3684.728909803921, 85, 8, 900.0, coolFactor='0.021', startTemp='500'
8414.690528869629, 3642.220434108526, 86, 8, 900.0, coolFactor='0.021', startTemp='500'
8415.359713315964, 3601.056980842911, 87, 8, 900.0, coolFactor='0.021', startTemp='500'
8467.077819347382, 3736.1453484848475, 88, 8, 900.0, coolFactor='0.021', startTemp='500'
8474.793038845062, 3704.804187265917, 89, 8, 900.0, coolFactor='0.021', startTemp='500'
8494.69848227501, 3759.4433999999987, 90, 8, 900.0, coolFactor='0.021', startTemp='500'
8495.404453277588, 3718.5242417582404, 91, 8, 900.0, coolFactor='0.021', startTemp='500'
8671.040310144424, 3678.4968043478248, 92, 8, 900.0, coolFactor='0.021', startTemp='500'
8678.77985048294, 3649.2478494623642, 93, 8, 900.0, coolFactor='0.021', startTemp='500'
8679.403423786163, 3611.0749999999985, 94, 8, 900.0, coolFactor='0.021', startTemp='500'
8732.552032709122, 3736.082982456139, 95, 8, 900.0, coolFactor='0.021', startTemp='500'
8738.699532985687, 3706.588076388887, 96, 8, 900.0, coolFactor='0.021', startTemp='500'
8738.699532985687, 3706.588076388887, 96, 8, 900.0, coolFactor='0.021', startTemp='500'
9539.45229792595, 3668.744900343641, 97, 9, 900.0, coolFactor='0.021', startTemp='500'
9559.878186702728, 3720.0536258503384, 98, 9, 900.0, coolFactor='0.021', startTemp='500'
9565.773858308792, 3691.6144175084155, 99, 9, 900.0, coolFactor='0.021', startTemp='500'
9662.406600475311, 3809.5566066666647, 100, 9, 900.0, coolFactor='0.021', startTemp='500'
9663.081556797028, 3772.1926798679847, 101, 9, 900.0, coolFactor='0.021', startTemp='500'
9683.117178201675, 3820.4751045751614, 102, 9, 900.0, coolFactor='0.021', startTemp='500'
9690.859625577927, 3792.6874239482177, 103, 9, 900.0, coolFactor='0.021', startTemp='500'
9691.890684366226, 3756.5654294871774, 104, 9, 900.0, coolFactor='0.021', startTemp='500'
9691.890684366226, 3756.5654294871774, 104, 9, 900.0, coolFactor='0.021', startTemp='500'
9692.524821996689, 3721.369568253966, 105, 10, 900.0, coolFactor='0.021', startTemp='500'
9836.630218744278, 3686.535893081759, 106, 10, 900.0, coolFactor='0.021', startTemp='500'
9842.42788529396, 3660.5362305295926, 107, 10, 900.0, coolFactor='0.021', startTemp='500'
9850.165866613388, 3635.5159320987627, 108, 10, 900.0, coolFactor='0.021', startTemp='500'
9870.341114759445, 3680.315480122322, 109, 10, 900.0, coolFactor='0.021', startTemp='500'
9871.028286457062, 3647.1835212121186, 110, 10, 900.0, coolFactor='0.021', startTemp='500'
9923.679013490677, 3753.9791651651626, 111, 10, 900.0, coolFactor='0.021', startTemp='500'
9924.257095813751, 3721.0061369047594, 112, 10, 900.0, coolFactor='0.021', startTemp='500'
9944.43623995781, 3765.0414808259566, 113, 10, 900.0, coolFactor='0.021', startTemp='500'
9945.241487503052, 3732.3288362573076, 114, 10, 900.0, coolFactor='0.021', startTemp='500'
9951.061020851135, 3707.739646376809, 115, 10, 900.0, coolFactor='0.021', startTemp='500'
9958.769202709198, 3684.037959770112, 116, 10, 900.0, coolFactor='0.021', startTemp='500'
10011.306314945221, 3784.959287749285, 117, 10, 900.0, coolFactor='0.021', startTemp='500'
10011.306314945221, 3784.959287749285, 117, 10, 900.0, coolFactor='0.021', startTemp='500'
10011.916907072067, 3753.4003107344606, 118, 11, 900.0, coolFactor='0.021', startTemp='500'
11063.852895259857, 3722.161652661062, 119, 11, 900.0, coolFactor='0.021', startTemp='500'
11069.656793832779, 3698.6817388888862, 120, 11, 900.0, coolFactor='0.021', startTemp='500'
11070.241961479187, 3668.6182534435234, 121, 11, 900.0, coolFactor='0.021', startTemp='500'
11090.299112796783, 3709.834497267757, 122, 11, 900.0, coolFactor='0.021', startTemp='500'
11091.255213022232, 3679.900883468832, 123, 11, 900.0, coolFactor='0.021', startTemp='500'
11092.003245592117, 3650.512973118277, 124, 11, 900.0, coolFactor='0.021', startTemp='500'
11143.960932016373, 3745.2728693333306, 125, 11, 900.0, coolFactor='0.021', startTemp='500'
11151.660867929459, 3723.154386243383, 126, 11, 900.0, coolFactor='0.021', startTemp='500'
11171.530539512634, 3762.31852493438, 127, 11, 900.0, coolFactor='0.021', startTemp='500'
11177.478339910507, 3739.9923802083304, 128, 11, 900.0, coolFactor='0.021', startTemp='500'
11185.1444876194, 3718.4292144702813, 129, 11, 900.0, coolFactor='0.021', startTemp='500'
11237.451752901077, 3808.8656564102535, 130, 11, 900.0, coolFactor='0.021', startTemp='500'
11237.451752901077, 3808.8656564102535, 130, 11, 900.0, coolFactor='0.021', startTemp='500'
11446.414806604385, 3780.2559949109386, 131, 12, 900.0, coolFactor='0.021', startTemp='500'
12138.918890953064, 3751.8904191919164, 132, 12, 900.0, coolFactor='0.021', startTemp='500'
12139.636961221695, 3723.949889724308, 133, 12, 900.0, coolFactor='0.021', startTemp='500'
12145.533056974411, 3702.9097562189027, 134, 12, 900.0, coolFactor='0.021', startTemp='500'
12153.302688121796, 3682.5796395061698, 135, 12, 900.0, coolFactor='0.021', startTemp='500'
12154.302728652954, 3655.7665539215654, 136, 12, 900.0, coolFactor='0.021', startTemp='500'
12154.913657665253, 3629.527381995131, 137, 12, 900.0, coolFactor='0.021', startTemp='500'
12155.595386981964, 3603.48587922705, 138, 12, 900.0, coolFactor='0.021', startTemp='500'
12207.971923351288, 3688.9703932853686, 139, 12, 900.0, coolFactor='0.021', startTemp='500'
12228.05099439621, 3724.7420333333303, 140, 12, 900.0, coolFactor='0.021', startTemp='500'
12248.155878543854, 3760.006274231675, 141, 12, 900.0, coolFactor='0.021', startTemp='500'
12248.155878543854, 3760.006274231675, 141, 12, 900.0, coolFactor='0.021', startTemp='500'
14945.725368499756, 3842.6529436619685, 142, 15, 900.0, coolFactor='0.021', startTemp='500'
14951.728830099106, 3822.10692307692, 143, 15, 900.0, coolFactor='0.021', startTemp='500'
14952.814021587372, 3795.814513888886, 144, 15, 900.0, coolFactor='0.021', startTemp='500'
14960.534096002579, 3776.245751724135, 145, 15, 900.0, coolFactor='0.021', startTemp='500'
14961.248341083527, 3750.6262602739703, 146, 15, 900.0, coolFactor='0.021', startTemp='500'
14961.821780204773, 3725.5267619047595, 147, 15, 900.0, coolFactor='0.021', startTemp='500'
14962.83470916748, 3700.5975270270246, 148, 15, 900.0, coolFactor='0.021', startTemp='500'
14963.464212179184, 3676.170697986575, 149, 15, 900.0, coolFactor='0.021', startTemp='500'
15030.85918021202, 3754.8706711111085, 150, 15, 900.0, coolFactor='0.021', startTemp='500'
15050.91954255104, 3787.6000044150087, 151, 15, 900.0, coolFactor='0.021', startTemp='500'
15051.644923686981, 3762.9171096491204, 152, 15, 900.0, coolFactor='0.021', startTemp='500'
15059.340437412262, 3744.5865664487997, 153, 15, 900.0, coolFactor='0.021', startTemp='500'
15059.340437412262, 3744.5865664487997, 153, 15, 900.0, coolFactor='0.021', startTemp='500'
15802.834521770477, 3726.144913419912, 154, 16, 900.0, coolFactor='0.021', startTemp='500'
15957.695953845978, 3707.7797849462354, 155, 16, 900.0, coolFactor='0.021', startTemp='500'
15958.53056049347, 3684.1978632478617, 156, 16, 900.0, coolFactor='0.021', startTemp='500'
15959.264996528625, 3661.1201698513787, 157, 16, 900.0, coolFactor='0.021', startTemp='500'
15979.076781988144, 3692.141561181433, 158, 16, 900.0, coolFactor='0.021', startTemp='500'
16031.326773643494, 3766.4310272536673, 159, 16, 900.0, coolFactor='0.021', startTemp='500'
16039.093111991882, 3748.880483333332, 160, 16, 900.0, coolFactor='0.021', startTemp='500'
16039.83867096901, 3725.8178716356097, 161, 16, 900.0, coolFactor='0.021', startTemp='500'
16039.83867096901, 3725.8178716356097, 161, 16, 900.0, coolFactor='0.021', startTemp='500'
16422.441883325577, 3703.041218106995, 162, 18, 900.0, coolFactor='0.021', startTemp='500'
16720.365132331848, 3732.253644171778, 163, 18, 900.0, coolFactor='0.021', startTemp='500'
16728.122626781464, 3715.339560975609, 164, 18, 900.0, coolFactor='0.021', startTemp='500'
16728.711131811142, 3693.1920484848474, 165, 18, 900.0, coolFactor='0.021', startTemp='500'
16734.613413333893, 3676.249024096385, 166, 18, 900.0, coolFactor='0.021', startTemp='500'
16735.334655046463, 3654.449928143712, 167, 18, 900.0, coolFactor='0.021', startTemp='500'
16788.357335090637, 3724.942289682539, 168, 18, 900.0, coolFactor='0.021', startTemp='500'
16796.060482501984, 3708.5718856015774, 169, 18, 900.0, coolFactor='0.021', startTemp='500'
16848.382472991943, 3778.0008745098035, 170, 18, 900.0, coolFactor='0.021', startTemp='500'
16854.26580095291, 3761.1971968810913, 171, 18, 900.0, coolFactor='0.021', startTemp='500'
16855.148230075836, 3739.498375968992, 172, 18, 900.0, coolFactor='0.021', startTemp='500'
16855.84282064438, 3718.235379576108, 173, 18, 900.0, coolFactor='0.021', startTemp='500'
16856.559023857117, 3697.0719578544063, 174, 18, 900.0, coolFactor='0.021', startTemp='500'
16856.559023857117, 3697.0719578544063, 174, 18, 900.0, coolFactor='0.021', startTemp='500'
17268.14485311508, 3725.6429752380955, 175, 19, 900.0, coolFactor='0.021', startTemp='500'
17275.900467157364, 3709.9196856060607, 176, 19, 900.0, coolFactor='0.021', startTemp='500'
17327.97764158249, 3776.427672316385, 177, 19, 900.0, coolFactor='0.021', startTemp='500'
17726.951296567917, 3760.293651685394, 178, 19, 900.0, coolFactor='0.021', startTemp='500'
17727.899184942245, 3739.442849162012, 179, 19, 900.0, coolFactor='0.021', startTemp='500'
17747.881900787354, 3765.5533518518528, 180, 19, 900.0, coolFactor='0.021', startTemp='500'
17748.480636119843, 3745.086206261511, 181, 19, 900.0, coolFactor='0.021', startTemp='500'
17749.29299068451, 3724.705512820514, 182, 19, 900.0, coolFactor='0.021', startTemp='500'
17755.193115234375, 3709.2949471766865, 183, 19, 900.0, coolFactor='0.021', startTemp='500'
17755.193115234375, 3709.2949471766865, 183, 19, 900.0, coolFactor='0.021', startTemp='500'
18644.14837384224, 3734.4763152173923, 184, 20, 900.0, coolFactor='0.021', startTemp='500'
18695.57807970047, 3798.031398198199, 185, 20, 900.0, coolFactor='0.021', startTemp='500'
19954.456073522568, 3777.8043476702524, 186, 20, 900.0, coolFactor='0.021', startTemp='500'
19955.40876674652, 3757.7519180035665, 187, 20, 900.0, coolFactor='0.021', startTemp='500'
19956.10862493515, 3738.0883439716326, 188, 20, 900.0, coolFactor='0.021', startTemp='500'
19963.95982480049, 3723.380701940037, 189, 20, 900.0, coolFactor='0.021', startTemp='500'
19964.538457632065, 3704.105014035089, 190, 20, 900.0, coolFactor='0.021', startTemp='500'
19984.819163560867, 3730.2458254799317, 191, 20, 900.0, coolFactor='0.021', startTemp='500'
19985.70854973793, 3710.968503472224, 192, 20, 900.0, coolFactor='0.021', startTemp='500'
19991.677143335342, 3696.427588946461, 193, 20, 900.0, coolFactor='0.021', startTemp='500'
19991.677143335342, 3696.427588946461, 193, 20, 900.0, coolFactor='0.021', startTemp='500'
20653.72916173935, 3677.5583745704484, 194, 21, 900.0, coolFactor='0.021', startTemp='500'
20707.461369037628, 3738.187135042737, 195, 21, 900.0, coolFactor='0.021', startTemp='500'
20715.160017967224, 3723.9379353741515, 196, 21, 900.0, coolFactor='0.021', startTemp='500'
20753.886407136917, 3705.2164230118465, 197, 21, 900.0, coolFactor='0.021', startTemp='500'
20806.274163722992, 3764.807080808083, 198, 21, 900.0, coolFactor='0.021', startTemp='500'
20807.295425891876, 3746.0291557788964, 199, 21, 900.0, coolFactor='0.021', startTemp='500'
20815.08603811264, 3732.090730000002, 200, 21, 900.0, coolFactor='0.021', startTemp='500'
20834.97840976715, 3756.446829187398, 201, 21, 900.0, coolFactor='0.021', startTemp='500'
20840.83777976036, 3742.3286369636985, 202, 21, 900.0, coolFactor='0.021', startTemp='500'
20841.46442246437, 3724.1940131362912, 203, 21, 900.0, coolFactor='0.021', startTemp='500'
20861.430680513382, 3747.7902843137276, 204, 21, 900.0, coolFactor='0.021', startTemp='500'
20861.430680513382, 3747.7902843137276, 204, 21, 900.0, coolFactor='0.021', startTemp='500'
21645.04731941223, 3747.7902843137276, 204, 23, 900.0, coolFactor='0.021', startTemp='500'
