"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
0.1100, 100000000, 0.0005, 0, 0.1100, coolFactor='0.03', startTemp='500'
0.5520, 61.0, 2.3513, 0, 0.1100, coolFactor='0.03', startTemp='500'
19.6380, 4379.0, 32.9567, 0, 0.1200, coolFactor='0.03', startTemp='500'
37.1723, 4301.833333333333, 51.3882, 5, 0.1200, coolFactor='0.024', startTemp='500'
310.2893, 3169.4128888888886, 344.7580, 5, 0.1500, coolFactor='0.024', startTemp='500'
1043.3661, 3169.4128888888886, 1108.9219, 5, 0.2100, coolFactor='0.024', startTemp='500'
1043.3661, 3169.4128888888886, 1108.9221, 5, 0.2100, coolFactor='0.024', startTemp='500'
